theta_dot,M
0.013789417426025352,0.8037715855835941
5.942984691098161,0.8739854204387312
11.486677339899146,0.9394973742533888
16.365126870844,0.996788813463128
21.243576401788864,1.0528698701543515
26.122025932733727,1.1069336226480488
31.00047546367859,1.1593835317837256
35.87892499462345,1.2118334409194023
40.757374525568316,1.262266045857553
45.63582405651318,1.3114882682771878
50.51427358745804,1.359096647338802
55.392723118402905,1.4046877222028902
60.27117264934777,1.4482614928694522
65.14962218029262,1.4918352635360144
70.02807171123749,1.5346021125235663
74.90652124218235,1.575755118153097
79.78497077312724,1.6156977412641125
84.6634203040721,1.6552369035356225
89.54186983501697,1.6927587616096067
94.42031936596183,1.7290702371650748
99.2987688969067,1.7633644085230173
104.17721842785156,1.794027432325413
109.05566795879639,1.8230766127697877
113.93411748974125,1.8476877239796052
118.81256702068612,1.868667687633876
123.69101655163098,1.8852095820535895
128.56946608257584,1.8936822596831986
133.4479156135207,1.8997341722757768
138.32636514446557,1.8973134072387454
143.20481467541043,1.8835957386955684
148.0832642063553,1.85656386244872
152.96171373730016,1.817428161016715
157.84016326824502,1.76820593859708
162.71861279918988,1.7101075777083303
167.59706233013475,1.6411157741529403
172.25376415512758,1.5597780689086909
176.02347515631226,1.4660714070704677
178.90619533368877,1.3656865077173872
181.12367239320915,1.2584331678822533
182.89765404082547,1.1463719197096827
184.44988798248974,1.023215498450719
185.78037421820198,0.921139906055902
186.88911274796217,0.8227627046898827
188.21959898367442,0.7081125827971539
189.55008521938663,0.5853260006410697
190.88057145509887,0.45736167104466885
192.21105769081112,0.3227402375964319
193.49719438533293,0.19107751697123376
194.5024506523155,0.08456385534185928
195.0741149194041,-0.0006785087856311378
