phi_dot,Mp
1.8635915201603268,1.464318653528851
6.544744761849614,1.467823173129419
11.47489551639471,1.4729042402800567
16.405046270939813,1.4799549612345704
21.33519702548491,1.4870056821890836
26.265347780030005,1.4943846787775765
31.1954985345751,1.5024202266340279
36.12564928912021,1.5111123257584376
41.05580004366531,1.5221023543207022
45.9859507982104,1.531122729079091
50.9161015527555,1.5427693089093142
55.846252307300595,1.5537593374715784
60.776403061845706,1.5677038467396565
65.7065538163908,1.582961458543651
70.6367045709359,1.5988756216156041
75.56685532548099,1.6167594384914328
80.4970060800261,1.6349715310012412
85.42715683457118,1.6551532773149245
90.35730758911629,1.6763198505305459
95.28745834366137,1.6974864237461669
100.21760909820648,1.720950926399643
105.14775985275159,1.7444154290531189
110.07791060729667,1.769193034242512
115.00806136184178,1.7946271906998634
119.93821211638686,1.8207178984251735
124.86836287093197,1.8468086061504834
129.79851362547709,1.8735558651437518
134.72866438002217,1.8996465728690621
139.65881513456728,1.9263938318623306
144.58896588911236,1.9554390202934537
149.51911664365747,1.9838276574566185
154.44926739820258,2.011888018985804
159.37941815274766,2.039291829247031
164.30956890729277,2.069321844580092
169.23971966183785,2.1000084111811113
174.16987041638296,2.1323363559520274
179.10002117092807,2.166962230160798
